segment_label,direction,point_count,identity_corr,identity_rms_z,dtw_corr,dtw_rms_z,dtw_cost,band60_dtw_corr,band60_dtw_rms_z,band60_dtw_cost,band60_axis_median_abs_diff_m,band60_axis_p90_abs_diff_m,dtw_axis_median_abs_diff_m,dtw_axis_p90_abs_diff_m,affine_scale_ref_per_query,affine_offset_m,affine_residual_median_abs_m,affine_residual_p90_abs_m
BMAW15230010L_1_seg01,backward,247,0.7061057683147159,1.38184923836485,0.9398852515463433,0.4354861540145505,0.24569139236008902,0.9013876900150163,0.5451027234481957,0.3046597795674154,22.5,50.2,74.0,86.7,0.8275418316413802,12.05094652748817,4.350595820180331,7.604655711177736
BMAW15230010L_3_seg03,forward,544,0.6542157154802279,1.146049335475305,0.9269827011554816,0.5081862982713193,0.3762337968875977,0.9368314005790802,0.47523241450962767,0.4782767376862336,4.0,13.5,59.5,151.35,0.674039019150668,161.6031620926793,6.815819939220546,24.115968822396365
BMAW15230010L_5_seg01,forward,546,0.6340817293256688,1.3909896825750396,0.8372193675608711,0.9919596062304036,1.1140524012937083,0.8597698874846066,0.9347501860798483,1.1436940002572242,3.5,19.5,124.5,144.5,0.6570521037589115,186.94917509462232,27.099492912702544,40.47446086610506
BMAW15230010L_1_seg04,forward,527,0.6220920825666467,1.1792666243577368,0.9031537611841098,0.5358265720138308,0.35630716873651574,0.9211059930701765,0.4820350925544929,0.4864115113202243,4.0,38.20000000000002,133.0,283.20000000000005,0.33313854320872655,335.0624257802483,6.346185026869193,13.167133272028096
BMAW15230010L_3_seg01,backward,646,0.6158031601726237,1.3109464920123008,0.9320551019560402,0.5527313013243367,0.3497569838357887,0.9107807073702592,0.6135819786908357,0.4485099320481773,3.5,36.5,261.75,294.75,0.6366145225397701,-109.68557179394193,10.462511090637719,15.635667518678488
BMAW15230010L_2_seg01,backward,499,0.5515065718500702,1.1565229855031764,0.9314163744398625,0.4535237379598224,0.25250217928875707,0.9314163744398625,0.4535237379598224,0.25250217928875707,1.0,15.0,1.0,15.0,0.9503739044353766,3.5318435907960573,2.911517396238265,7.61767049279282
BMAW15230010L_3_seg02,backward,477,0.4972951346444503,1.2241653897990952,0.9244075982934286,0.5009474770633892,0.3575745045383823,0.8877481557380162,0.6509121499036686,0.4727010018996341,7.0,19.5,231.5,258.5,1.1409777142087596,213.8649031939819,17.88089890307316,30.88003158843605
BMAW15230010L_1_seg03,backward,298,0.07686290122184349,3.400806018741856,0.8727200938530727,1.9775281102517968,4.4746422858237205,0.8293643283819349,2.2277456799490674,5.257327855423571,20.25,55.150000000000006,353.25,373.0,0.823480931738882,362.8766975494434,13.483779116840054,33.672205875050835
BMAW15230010L_1_seg02,backward,684,-0.07637196110014743,1.9747357590394798,0.8254611848397365,0.7995241081055225,0.7270806016985303,0.8175845338008468,0.8269372725867964,0.8026316874273302,12.5,23.0,102.0,133.0,0.9663085185149765,-97.9980188731189,10.246695077716083,21.950400088971296
