method,segment_count,median_abs_error_m,mean_abs_error_m,rmse_m,p90_abs_error_m,median_final_abs_error_m,mean_final_abs_error_m,max_final_abs_error_m
start-endpoint_by_direction_vmax1.2,5,23.619352319100216,46.54751577720803,51.807824599183604,72.14765444511022,50.302643312514306,50.624460012876646,93.62747988398877
start-uniform_vmax1.2,5,23.619352319100216,46.54751577720803,51.807824599183604,72.14765444511022,50.302643312514306,50.624460012876646,93.62747988398877
start-endpoint_by_direction_vmax1.4,5,27.55317356708329,63.91150820830903,73.61931933515721,114.48340164883163,54.12747988398876,77.90340268787092,231.47141144573646
start-uniform_vmax1.4,5,27.55317356708329,63.91150820830903,73.61931933515721,114.48340164883163,54.12747988398876,77.90340268787092,231.47141144573646
start-endpoint_by_direction_vmax1.6,5,27.55317356708329,64.81404334144898,74.39588618558324,114.94079327730924,54.12747988398876,77.90340268787092,231.47141144573646
start-endpoint_by_direction_vmax1.4_speed0p04,5,29.003734827968145,53.54261932501148,61.078855522737626,88.95857794929651,29.617182756198645,31.624460012876646,71.10358266594505
start-endpoint_by_direction_vmax1.2_speed0p04,5,43.772283867057226,64.87398877281544,72.87996261996844,106.2623021923724,22.127479883988762,23.283026946498627,50.302643312514306
start-endpoint_by_direction_vmax1,5,44.928574411490956,65.70913429305247,72.50017642287528,99.98261560061988,50.302643312514306,42.483026946498626,93.62747988398877
