subset,metric_set,segment_count,median_abs_error_m,mean_abs_error_m,rmse_m,median_final_error_m,mean_final_error_m,max_final_error_m,mean_within_25m_rate,mean_within_50m_rate
all,full_segment,5,13.844387779876493,25.243898021204608,40.12986654937825,10.372520116011236,24.55241073427542,71.10358266594505,0.6352329386270169,0.876811753401206
all,trim_reversal_tail,5,13.844387779876493,24.340333762691237,39.0170821232248,10.372520116011236,16.705826061554347,31.870659302339696,0.659209894848599,0.8822739382751555
exclude_1_seg03,full_segment,4,15.952307769745218,20.035417614336755,26.304443572456663,19.044297100967555,28.097383388841465,71.10358266594505,0.6374477666903645,0.9018754976123133
exclude_1_seg03,trim_reversal_tail,4,14.069935555774734,18.90596229119504,24.913463039764864,19.044297100967555,18.289152547940127,31.870659302339696,0.6674189619673422,0.9087032287047503
