method,segment_count,median_abs_error_m,mean_abs_error_m,rmse_m,p90_abs_error_m,median_final_error_m,mean_final_error_m,max_final_error_m
ProgressMarginSelector,5,13.844387779876492,25.243898021204608,40.12986654937825,56.58369267098077,10.372520116011236,24.55241073427542,71.10358266594505
IMUProgressClosest_TotalVsAxis,5,14.155683003964782,27.923349947962542,42.269112974967676,57.35690282304464,29.617182756198645,36.67346805928114,84.60358266594505
FixedTotal_vmax1.2,5,24.55526478634791,45.962651903598264,51.16450260138082,71.75511883462562,50.30264331251431,50.624460012876646,93.62747988398876
