metric_set,segment_count,median_abs_error_m,mean_abs_error_m,rmse_m,median_final_error_m,mean_final_error_m,max_final_error_m,mean_within_25m_rate,mean_within_50m_rate
full_segment,5,13.844387779876493,25.243898021204608,40.12986654937825,10.372520116011236,24.55241073427542,71.10358266594505,0.6352329386270169,0.876811753401206
trim_reversal_tail,5,13.844387779876493,24.340333762691237,39.0170821232248,10.372520116011236,16.705826061554347,31.870659302339696,0.659209894848599,0.8822739382751555
